Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","",52.000000,-5.000000,0.000000,top
"C2","100nF","",48.000000,-5.000000,0.000000,top
"C3","22uF","",39.000000,-8.000000,0.000000,top
"C4","22uF","",39.000000,-14.500000,0.000000,top
"C5","100nF","",55.000000,-15.000000,0.000000,top
"C6","75pF","",67.000000,-8.000000,0.000000,top
"C7","470uF","",57.000000,-64.000000,0.000000,top
"C8","1000uF","",83.000000,-65.000000,0.000000,top
"C9","10uF","",9.000000,-15.000000,0.000000,top
"C10","2.2uF","",34.000000,-31.500000,0.000000,top
"C11","10nF","",34.000000,-35.000000,0.000000,top
"C12","10uF","",18.000000,-42.000000,0.000000,top
"C13","2.2uF","",35.000000,-49.300000,0.000000,top
"C14","10nF","",35.000000,-52.500000,0.000000,top
"C15","100nF","",26.000000,-9.000000,0.000000,top
"C16","100nF","",9.000000,-37.000000,0.000000,top
"C17","100nF","",22.000000,-64.000000,0.000000,top
"D1","SMBJ10A","",51.000000,-59.000000,0.000000,top
"F1","5A PTC","",41.000000,-65.000000,0.000000,top
"H1","M3","",17.000000,-12.500000,0.000000,top
"H2","M3","",75.000000,-12.500000,0.000000,top
"H3","M3","",17.000000,-61.500000,0.000000,top
"H4","M3","",75.000000,-61.500000,0.000000,top
"J1","BATTERY 2S","",46.000000,-69.000000,0.000000,top
"J2","POWER SWITCH","",34.000000,-69.000000,0.000000,top
"J3","MOTOR 1","",26.000000,-5.000000,0.000000,top
"J4","MOTOR 2","",5.000000,-37.000000,0.000000,top
"J5","MOTOR 3","",20.000000,-69.000000,0.000000,top
"J6","UPPER LINK","",87.000000,-53.000000,0.000000,top
"J7","TOUCH","",87.000000,-35.000000,0.000000,top
"L1","10uH","",47.000000,-10.000000,0.000000,top
"R1","100k","",63.000000,-6.000000,0.000000,top
"R2","13.3k","",63.000000,-11.000000,0.000000,top
"R3","100k","",59.000000,-18.000000,0.000000,top
"R4","47k","",64.000000,-18.000000,0.000000,top
"R5","10k","",44.000000,-25.000000,0.000000,top
"R7","0.20R","",8.000000,-20.000000,0.000000,top
"R8","0.20R","",8.000000,-25.000000,0.000000,top
"R9","0.20R","",8.000000,-50.000000,0.000000,top
"U1","TPS54302DDCR","",55.000000,-10.000000,0.000000,top
"U2","DRV8833PWPR","",26.000000,-27.000000,0.000000,top
"U3","DRV8833PWPR","",26.000000,-49.000000,0.000000,top
"U4","Seeed XIAO ESP32-C3","",51.000000,-41.000000,0.000000,top
